lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
12.87887 49.14424 -0.04755 0.09214 0.12710 0.07554 0.07980 0.23495 0 0 0 GNSS wrlg_wt21_wt33_wtz2_wtz3_wtza_wtzj_wtzl_wtzm_wtzr_wtzs_wtzt_wtzz bitharis24(bitharis24)_dagostino20(dagostino20)_demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_steffen25(steffen25)_vardic21(vardic21)_wangshen20(wangshen20)_yavasoglu21(yavasoglu21)
12.35104 45.43555 -0.05833 1.80711 -1.25013 0.15368 0.16792 0.47633 0 0 0 GNSS psal_ve01_vear_ven1_ven2_vene ULR5(ULR5)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_steffen25(steffen25)
50.60815 26.20914 3.58311 21.89778 -0.38061 0.20138 0.21221 0.27400 0 0 0 GNSS bahr_bhr1_bhr2_bhr3_bhr4 ULR5(ULR5)_jade17(jade17)_khorrami19(khorrami19)_measures(measures)_palano13(ArRajehietal2010)_palano18(palano18)_pappachen21(pappachen21)_rashwan21(rashwan21)_rudenko13(rudenko13)_rui19(vernant14)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_vardic21(vardic21)_viltres22(viltres22)_wangshen20(wangshen20)
91.10400 29.65733 17.52718 18.68688 1.00263 0.21303 0.20388 0.24566 0 0 0 GNSS lhas_lhaz ULR5(ULR5)_castroperdomo22(castroperdomo22)_fang22(fang22)_fu12(fu12)_jade17(jade17)_jade20(jade20)_measures(measures)_nagale22(nagale22)_pan21_vert(pan21_vert)_pappachen21(pappachen21)_ray19(ray19)_rudenko13(rudenko13)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_timofeev24(timofeev24)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_yadav21_2(yadav21_2)_zhao23_vert(zhao23_vert)_zheng17(zheng17)_zhou16(zhou16)
7.46510 46.87710 -0.02637 0.36640 0.74497 0.07376 0.07168 0.17852 0 0 0 GNSS zim2_zim3_zimj_zimm bitharis24(bitharis24)_castroperdomo22(castroperdomo22)_demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_nocquet16(nocquet16)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_steffen25(steffen25)
1.48125 43.55960 0.08137 0.12595 -0.29829 0.08701 0.08636 0.22876 0 0 0 GNSS tlia_tlse_tlsg_toul demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_steffen25(steffen25)_vardic21(vardic21)
16.70454 40.64906 0.79698 4.28884 0.31277 0.11203 0.11452 0.18027 0 0 0 GNSS mat1_mate_matg ULR5(ULR5)_bitharis24(bitharis24)_castroperdomo22(castroperdomo22)_dagostino20(dagostino20)_eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_steffen25(steffen25)_wangshen20(wangshen20)
80.95571 26.91217 8.23400 34.68118 -2.30806 0.44654 0.31409 0.56965 0 0 0 GNSS lck1_lck2_lck3_lck4_lcki_lckm demets20(demets20)_fang22(fang22)_jade17(jade17)_jade20(jade20)_jouanne17(jouanne17)_measures(measures)_nagale22(nagale22)_pappachen21(pappachen21)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_vardic21(vardic21)_vila20(vila20)_wangshen20(wangshen20)_yadav21_2(yadav21_2)
104.31620 52.21902 -1.44085 -0.03307 0.21456 0.14119 0.09628 0.14335 0 0 0 GNSS irkj_irkm_irkt ULR5(ULR5)_demets20(demets20)_gaoran_lss(gaoran_lss)_gaoran_med(gaoran_med)_measures(measures)_pappachen21(pappachen21)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sokhadze18(sokhadze18)_vardic21(vardic21)_wangshen20(wangshen20)_zhou16(zhou16)
66.88545 39.13477 -0.76484 1.30219 -1.19117 0.37744 0.30846 0.49823 0 0 0 GNSS kit3_kitg ULR5(ULR5)_castroperdomo22(castroperdomo22)_jade17(jade17)_jade20(jade20)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sokhadze18(sokhadze18)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
